Date,AAPL_Price,AAPL_Return_1,AAPL_Return_5,AAPL_Return_10,AAPL_Return_20,AAPL_Log_Return,AAPL_MA5_Ratio,AAPL_MA10_Ratio,AAPL_MA20_Ratio,AAPL_MA50_Ratio,AAPL_Volatility_5,AAPL_Volatility_20,AAPL_RSI,AAPL_MACD,AAPL_MACD_Signal,AAPL_EMA12_Ratio,AAPL_EMA26_Ratio,AAPL_BB_Position,JNJ_Price,JNJ_Return_1,JNJ_Return_5,JNJ_Return_10,JNJ_Return_20,JNJ_Log_Return,JNJ_MA5_Ratio,JNJ_MA10_Ratio,JNJ_MA20_Ratio,JNJ_MA50_Ratio,JNJ_Volatility_5,JNJ_Volatility_20,JNJ_RSI,JNJ_MACD,JNJ_MACD_Signal,JNJ_EMA12_Ratio,JNJ_EMA26_Ratio,JNJ_BB_Position,MSFT_Price,MSFT_Return_1,MSFT_Return_5,MSFT_Return_10,MSFT_Return_20,MSFT_Log_Return,MSFT_MA5_Ratio,MSFT_MA10_Ratio,MSFT_MA20_Ratio,MSFT_MA50_Ratio,MSFT_Volatility_5,MSFT_Volatility_20,MSFT_RSI,MSFT_MACD,MSFT_MACD_Signal,MSFT_EMA12_Ratio,MSFT_EMA26_Ratio,MSFT_BB_Position
2025-10-24,262.0785522460937,0.01248172436409134,0.041737730897085434,0.07155379349051327,0.028810698455314476,0.012404469824879763,1.0063100039315949,1.0305171328142748,1.0305514805062632,1.0765055246196733,0.020334741428574183,0.014717830425631845,56.879904238017254,4.341877023321956,4.086928423134864,1.0240668627636011,1.0417408296495891,0.8675399237030372,187.12208557128903,-0.010755001509290096,-0.014594856159135361,-0.0016779762362681971,0.059484569643004415,-0.010813254589167045,0.9902121932007377,0.9918370522674363,1.0031822720846701,1.0454736488006853,0.007185689466370819,0.007267941614333025,59.47537107579107,3.3106534546472517,3.675733032766072,0.9969461899872197,1.0148465082842864,0.5490001407056566,520.3146362304688,0.005858991296820992,0.01952935820012569,0.024757169922932976,0.023755367088852397,0.005841894156140744,1.0072676149052875,1.0136870737259305,1.0106826750914695,1.0232275689484125,0.0028262949150533326,0.00843696493174964,43.27529207990871,2.008136173852222,1.6768567098665212,1.0105724144135972,1.0145293517465113,0.7856510653550742
2025-10-27,268.0516357421875,0.022791195406501874,0.025053338620709242,0.08539920461458483,0.05651836724997494,0.022535356074125303,1.0240926405328634,1.0453349897125108,1.0510756970121118,1.09769345475635,0.014503772689609016,0.015391611187828213,62.24915349518246,4.9880721148813905,4.26715716148417,1.03982281171404,1.0603400435308605,1.0331261468069362,187.02381896972656,-0.0005251469983484913,-0.0176543880341119,-0.0031429545773770107,0.04779207665347829,-0.0005252849363273529,0.993225370605248,0.9916261232760386,1.0003679476990284,1.0432122191467308,0.006708707935066451,0.007070440561661429,56.300270700393966,3.011856718949957,3.5429577700028494,0.996971341877541,1.0132392635206406,0.5072705107541162,528.1749877929688,0.015106919957981635,0.028502932265690673,0.03398512472710924,0.03288013234911391,0.014993946805977626,1.0167223292016918,1.0255322799015314,1.0242783536835356,1.0381902014836313,0.005846127862036321,0.0089363244659563,59.378232483662856,2.9206558093133026,1.9256165297558776,1.0217772426402125,1.027583225918962,1.0604220400947484
2025-10-28,268.2410888671875,0.0007067784700340862,0.0237088634308531,0.08568416863440231,0.056434673418926495,0.0007065288197559364,1.019974726112521,1.0375083437057917,1.0488718697686954,1.0950609435313696,0.014583968821864685,0.015392184990791594,61.176959086708024,5.452619263654384,4.504249581918213,1.0341052793195593,1.0563095144235923,0.9612310105487835,183.7118377685547,-0.017708873764940014,-0.025797427175565324,-0.02053974311226814,0.008143700099887186,-0.01786755200285193,0.9807038426210553,0.9760593000334081,0.9822627084950826,1.0233956687514787,0.009108142972724081,0.007009173144223283,39.9708885754586,2.4792299302737035,3.3302122020570204,0.9824423695492499,0.9956428681588577,0.12786028597319624,538.6585083007812,0.019848574336355673,0.0471544435697111,0.05549379339633842,0.04656807492084081,0.019654159742433237,1.0273092285891459,1.04016788162361,1.0421867300827334,1.057729964848974,0.008008924433488438,0.009775883366295557,67.26155293514992,4.438601252997955,2.428213474404293,1.0353588046464661,1.0442679374407022,1.2190099665927654
2025-10-29,268.93914794921875,0.0026023570250897077,0.04352860195720565,0.08165558910235982,0.05578394845267831,0.0025989767572192316,1.0139784449622302,1.0321035443482116,1.0486879985065183,1.0944231190062528,0.009118766039495803,0.015392046200480979,67.16358435480751,5.810128218511437,4.765425309236858,1.0309601424657744,1.0544455292617487,0.9229299542038134,183.3875274658203,-0.001765320660190417,-0.03286002682421618,-0.02390539362687416,0.0029561728843741086,-0.0017668806749282372,0.9855287285201456,0.9766667969053215,0.9803870305430198,1.020461015662563,0.007387149123886102,0.006989128445279903,32.362156882161884,2.0078054998360244,3.0657308616128214,0.9836274433701834,0.9943356188209831,0.07886981853458665,538.1417846679688,-0.0009592786985627155,0.04036187526062407,0.05476883448056635,0.042023485641754066,-0.0009597391008330833,1.0182152460569676,1.033592920210611,1.0390056032484978,1.0553719424350472,0.009207812481973192,0.009799208592850373,69.9687574855861,5.5360722794439425,3.049785235412223,1.0289256600971979,1.0399333078471498,1.0643967882352077
2025-10-30,270.63433837890625,0.006303249053230431,0.04553508574295839,0.09678721954732539,0.05549719550395116,0.006283466664280875,1.0113808350912077,1.0291764157128374,1.0523784881239358,1.0972793973197355,0.008934437152339112,0.015388664964230862,83.89111174621321,6.159244405813126,5.044189128552112,1.03151407756546,1.0563118020074753,0.9192099312826888,185.7953338623047,0.01312960826593379,-0.01776904524626921,-0.015979615347160858,0.0165070870001649,0.013044162063463776,1.0020884367591139,0.9910825642122089,0.9924587319335049,1.0325590316712787,0.011650394442809563,0.007562439792464447,44.35422239205201,1.80765062442822,2.8141148141759014,0.9970725157090937,1.0068396406639248,0.3198827681022256,522.4512329101562,-0.029156910325210172,0.009989405533499696,0.027657835448274826,0.019428452062034696,-0.029590420376358836,0.9865980156886291,1.0007538587362574,1.0077427573928033,1.0237677944732477,0.019265692553500635,0.011884794066835581,64.14923052350704,5.081157162452769,3.4560596208203327,0.9990905447059436,1.0088937284055088,0.6126713020170825
2025-10-31,269.60723876953125,-0.0037951562818203666,0.028726831932313512,0.07166355561011573,0.04786449256530734,-0.003802376160255665,1.0019047155045555,1.018289019393653,1.045880278601891,1.0891106792792413,0.010212200604771734,0.0154580503708676,80.53243866652514,6.280643792771002,5.29148006139589,1.02325453125055,1.0482417396997439,0.8477909945751138,185.61843872070312,-0.0009520967934139035,-0.008035646064948665,-0.02251322312562032,0.0012192717028551847,-0.0009525503254597074,1.0027608155435268,0.9924020934286883,0.9914539584779503,1.030310473869606,0.010932214359295115,0.006871540578070433,43.137281660821245,1.6161228261384792,2.574516416568417,0.9967176783104583,1.005443028722718,0.2947837388822915,514.5512084960938,-0.015121075262963357,-0.011076812630391064,0.008236222528160031,0.000889240627682808,-0.015236564413907323,0.9737992947076414,0.9848284513413739,0.9924608461459818,1.0077547538941787,0.020498381200776832,0.01240449870193676,53.28901134089967,4.036635882064843,3.572174873069235,0.9864138633036023,0.9941066398163881,0.39014911388019824
2025-11-03,268.2909851074219,-0.004882115436205092,0.0008929226063913998,0.02596863191952048,0.04815141646377019,-0.004894071892846057,0.9968359715846563,1.0107252644635565,1.0382920029887204,1.080200221206535,0.004611564855165041,0.015451112272943598,77.70841402747027,6.19918269221057,5.4730205875588265,1.0154065474500682,1.0398025800722122,0.7809535152258765,183.05337524414065,-0.013819012239522643,-0.021229615283540948,-0.03850920745162234,-0.01009781284055622,-0.013915383657723398,0.9931642081699646,0.9825394334028549,0.9782408870316377,1.0151559372086152,0.01216351358739986,0.00752944986937117,36.77230969132189,1.2430276318991957,2.308218659634573,0.9855300516531812,0.9921699123251853,0.01610467796576805,513.776123046875,-0.0015063329682659665,-0.02726154225186017,0.0004643561215673664,-0.02183255302657927,-0.0015074686283697196,0.9776607114866598,0.9833000929459916,0.9920630026408142,1.0058530550014857,0.0182432113612179,0.01131846414389014,53.010774469440626,3.110447026757015,3.4798293038067913,0.9872171249455285,0.9931529034819779,0.38328420276172886
2025-11-04,269.2781982421875,0.0036796358788213634,0.0038663330043127164,0.027666862796343228,0.05286960910743255,0.0036728825801045834,0.9997334937733601,1.0116813738904258,1.0393929965481388,1.0804547958116777,0.004879209643264598,0.015433498336117273,77.36655967677265,6.143465980958297,5.6071096662387205,1.0161502528803323,1.040266788908484,0.7802194777931902,183.6430511474609,0.003221333135943638,-0.0003744267213767749,-0.02616219465086478,-0.010746937073205287,0.0032161557580835417,0.9964378960371344,0.9883216943681993,0.9819155633358688,1.0173448670486887,0.009717827223996228,0.007510803419941764,37.77653897943566,0.9835906984221765,2.043293067392094,0.9904258623681231,0.99570780643134,0.11942430767705081,511.0931701660156,-0.005222027183646616,-0.05117405129591568,-0.006432691640271382,-0.018416607469821322,-0.0052357096217623324,0.982866370452856,0.9787851351771594,0.987796926481622,1.0002085677363306,0.011928389819044646,0.011221499312668675,50.749787781429404,2.1353290666979774,3.210929256385029,0.9847795615464952,0.98884805220663,0.32273516994953755
2025-11-05,269.3778991699219,0.00037025250608935245,0.0016314144818587728,0.0452310296306726,0.046810852709133544,0.00037018397954444794,0.999777934726356,1.0076429368156776,1.0373661472750317,1.0773348700994705,0.004771905093867862,0.015419319447330151,81.48775605805335,6.0377556289878385,5.693238858788544,1.0139484843693267,1.0375276892531713,0.75866057512742,182.7978515625,-0.004602404390908532,-0.003215463513080108,-0.03596983012000421,-0.019452826088468766,-0.004613028062819313,0.9924869885537714,0.9873974261287871,0.9783449118080108,1.011615078672371,0.009924592256379728,0.007476625948907013,32.55419739349735,0.7016958041806731,1.7749736147498099,0.988015692801405,0.9917771465999652,0.08082794998086892,503.96826171875,-0.01394052760468567,-0.06350282383350636,-0.02570404162714779,-0.03370464889327973,-0.014038609367540944,0.9820726593202256,0.9676041156622055,0.9756839257663839,0.9860687704977737,0.010712492499218055,0.011573165700949144,46.596290449881614,0.7786447595569825,2.72447235701942,0.9753952931525972,0.9768674445315926,0.16352054142215913
2025-11-06,269.0089416503906,-0.0013696651457605347,-0.0060058776659743796,0.03925572992250226,0.06191944534193761,-0.0013706039944364156,0.9996146188724213,1.002452532400422,1.0328259147100682,1.0724991221939462,0.0034131412941293808,0.014864636563564671,77.69339152881443,5.856695287521461,5.725930144535128,1.0106069552706443,1.0333428813238996,0.7256022103262525,183.7511444091797,0.005215011218847598,-0.011002372398867588,-0.028575915992164913,-0.02150941022985886,0.005201460140108669,0.9998823122307168,0.9954531662985342,0.9845111674897017,1.015765866400298,0.007528325004507675,0.0073675677607958215,32.0505217423098,0.5488876006874648,1.5297564119373408,0.9942131687754234,0.9971746166562926,0.21060595030507293,493.9715576171875,-0.01983597948702054,-0.05451164338216097,-0.04506677676070325,-0.04843026613566204,-0.02003535345157169,0.9733965521573279,0.952674813376302,0.9586633090476988,0.9668715727046366,0.007535595865351551,0.012258145172322025,38.78297731800158,-1.0906158625106173,1.9614547131134126,0.9625561215130883,0.9605148535845789,-0.003497187096447066
