Date,AAPL,ABBV,ADBE,AMD,AMZN,AVGO,BAC,CAT,COST,CVX,GE,GLD,GOOGL,GS,HD,IEF,JNJ,JPM,KO,LLY,MA,META,MSFT,NEE,NFLX,NVDA,PG,PLD,QCOM,TLT,TSLA,UNH,UNP,V,XOM
2023-07-14,188.0536346435547,123.49762725830078,514.8300170898438,115.94000244140625,134.67999267578125,85.70989227294922,27.00408363342285,244.31524658203125,525.2374267578125,135.35263061523438,86.58917236328125,181.42999267578125,124.3176498413086,304.0565490722656,293.33209228515625,86.5781478881836,146.46612548828125,140.2045440673828,55.754085540771484,439.982666015625,395.3935241699219,306.1812438964844,337.2599792480469,66.99869537353516,44.191001892089844,45.38059997558594,138.81629943847656,116.09354400634766,114.82994079589844,89.39384460449219,281.3800048828125,451.9384460449219,197.2577667236328,237.67193603515625,91.31044006347656
2023-07-17,191.3080291748047,122.42620086669922,522.0,118.31999969482422,133.55999755859375,87.80977630615234,27.273101806640625,246.07386779785156,531.251708984375,135.229248046875,87.26441192626953,181.55999755859375,123.55441284179688,304.9980773925781,292.91497802734375,86.72164916992188,145.73321533203125,143.583984375,55.671688079833984,437.71160888671875,395.0890197753906,307.9159851074219,337.73858642578125,66.50444030761719,45.005001068115234,46.370662689208984,137.83563232421875,116.30253601074219,115.6169662475586,89.4379653930664,290.3800048828125,455.6184997558594,196.20130920410156,238.48321533203125,91.7084732055664
2023-07-18,191.05162048339844,124.01522827148438,532.22998046875,117.93000030517578,132.8300018310547,87.14228820800781,28.47905731201172,252.14305114746094,531.85693359375,135.50245666503906,87.20160675048828,183.63999938964844,122.67223358154297,314.3847351074219,293.57305908203125,86.8203125,145.7240447998047,143.84608459472656,55.451961517333984,441.68603515625,391.12042236328125,309.3335266113281,351.1805725097656,65.94613647460938,47.47999954223633,47.40165328979492,138.09469604492188,112.68570709228516,115.11101531982422,89.84395599365234,293.3399963378906,470.60247802734375,198.7816619873047,235.33590698242188,91.2923583984375
2023-07-19,192.40267944335938,125.01400756835938,527.1699829101562,116.43000030517578,135.36000061035156,86.9435806274414,29.249011993408203,252.37356567382812,532.3565063476562,136.3308868408203,86.28295135498047,183.6699981689453,120.95744323730469,317.4422302246094,296.093994140625,87.11625671386719,145.4308624267578,144.3983917236328,56.43155288696289,443.9962158203125,391.2284851074219,313.2590637207031,346.87249755859375,65.99188995361328,47.75899887084961,46.98545837402344,139.03829956054688,111.57701873779297,116.57261657714844,90.85887908935547,291.260009765625,474.0849609375,200.3055877685547,235.97120666503906,91.92559051513672
2023-07-20,190.4599151611328,129.10910034179688,516.8800048828125,110.25,129.9600067138672,85.68673706054688,29.39743423461914,250.77914428710938,535.094482421875,137.83792114257812,87.34294891357422,182.74000549316406,118.15231323242188,327.05255126953125,295.7325134277344,86.42568969726562,154.26263427734375,146.17703247070312,57.11818313598633,454.03985595703125,391.0221862792969,299.8865661621094,338.8522644042969,67.82244873046875,43.742000579833984,45.43149185180664,140.1656951904297,112.46759796142578,113.10600280761719,89.7557144165039,262.8999938964844,474.5931701660156,202.67092895507812,234.21182250976562,93.54483032226562
2023-07-21,189.28634643554688,130.51651000976562,520.22998046875,110.94999694824219,130.0,86.49795532226562,29.66645622253418,247.47496032714844,535.9592895507812,139.85614013671875,86.62842559814453,182.17999267578125,118.9651107788086,328.0779724121094,297.0114440917969,86.49739074707031,155.92086791992188,145.05368041992188,57.1639518737793,452.29742431640625,390.4623107910156,291.698486328125,335.823974609375,69.46996307373047,42.75,44.222843170166016,142.37208557128906,113.99430084228516,116.85371398925781,89.78216552734375,260.0199890136719,476.7485656738281,202.67092895507812,233.85020446777344,93.97901153564453
2023-07-24,190.08517456054688,130.00802612304688,523.8599853515625,110.61000061035156,128.8000030517578,86.96479034423828,30.28798484802246,249.12705993652344,541.7909545898438,142.6147003173828,86.56562042236328,181.39999389648438,120.46184539794922,334.5750427246094,301.3117980957031,86.29112243652344,156.7362518310547,147.90887451171875,57.18227767944336,449.6347961425781,397.6332702636719,289.07147216796875,337.1329345703125,69.1038589477539,42.83700180053711,44.5252571105957,142.8282470703125,115.42105102539062,116.27281188964844,89.45563507080078,269.05999755859375,478.7721252441406,202.8204803466797,235.3065643310547,95.45353698730469
2023-07-25,190.94313049316406,128.6006317138672,525.3400268554688,113.0,129.1300048828125,88.54669952392578,29.824161529541016,251.7108154296875,543.0015258789062,143.266845703125,91.99119567871094,182.41000366210938,121.13585662841797,330.6320495605469,301.330322265625,86.12969207763672,157.93641662597656,146.8042755126953,56.99001693725586,447.892333984375,394.1852722167969,291.9066162109375,342.8673400878906,69.04893493652344,42.77000045776367,45.59019088745117,143.16343688964844,115.50283813476562,117.181640625,89.2879409790039,265.2799987792969,480.889892578125,201.5209503173828,233.30284118652344,95.59825897216797
2023-07-26,191.8109588623047,128.84579467773438,514.5499877929688,110.08999633789062,128.14999389648438,86.1449203491211,30.065349578857422,248.11856079101562,543.9430541992188,142.19163513183594,90.07535552978516,183.3000030517578,128.13380432128906,333.2980041503906,305.4638977050781,86.42568969726562,158.23876953125,147.68423461914062,57.722412109375,444.0256042480469,395.2952575683594,295.9709167480469,329.9626770019531,68.06959533691406,42.266998291015625,45.36362838745117,143.31236267089844,117.48394012451172,116.1978530883789,89.3761978149414,264.3500061035156,478.13214111328125,222.5098114013672,231.7487030029297,95.0645523071289
2023-07-27,190.5486602783203,135.15643310546875,513.969970703125,111.0999984741211,128.25,86.18734741210938,29.63863182067871,248.0992889404297,539.7734375,140.71104431152344,90.62495422363281,180.4199981689453,128.2626495361328,330.4549255371094,305.5750732421875,85.48387908935547,159.1273956298828,146.05535888671875,57.1639518737793,445.3960266113281,387.52520751953125,308.9964904785156,323.0755920410156,67.06275939941406,41.31700134277344,45.81076431274414,141.60870361328125,113.53993225097656,117.91243743896484,87.63758850097656,255.7100067138672,475.5250549316406,216.9938507080078,229.1487579345703,95.36306762695312
