Date,AAPL,JNJ,MSFT
2023-07-10,186.0023956298828,146.13629150390625,324.1600036621094
2023-07-11,185.47970581054688,145.33009338378906,324.7851257324219
2023-07-12,187.14634704589844,144.8262176513672,329.40582275390625
2023-07-13,187.90570068359375,145.4949951171875,334.73956298828125
2023-07-14,188.05364990234375,146.46609497070312,337.2599182128906
2023-07-17,191.30801391601562,145.73318481445312,337.7386779785156
2023-07-18,191.05160522460938,145.72401428222656,351.1806335449219
2023-07-19,192.40267944335938,145.43084716796875,346.8725280761719
2023-07-20,190.45986938476562,154.26263427734375,338.852294921875
2023-07-21,189.28636169433594,155.92088317871094,335.8239440917969
2023-07-24,190.0851593017578,156.7362518310547,337.1329650878906
2023-07-25,190.943115234375,157.93643188476562,342.8673400878906
2023-07-26,191.81097412109375,158.23875427246094,329.962646484375
2023-07-27,190.54867553710938,159.12742614746094,323.0755615234375
2023-07-28,193.12254333496094,159.8511962890625,330.54876708984375
2023-07-31,193.73402404785156,153.48391723632812,328.15545654296875
2023-08-01,192.90560913085938,154.72984313964844,328.5656433105469
2023-08-02,189.9175262451172,155.66433715820312,319.9300537109375
2023-08-03,188.52699279785156,156.33316040039062,319.109375
2023-08-04,179.47393798828125,154.86727905273438,320.2035827636719
2023-08-07,176.37734985351562,158.58689880371094,322.47967529296875
2023-08-08,177.31419372558594,158.66017150878906,318.5135192871094
2023-08-09,175.7264404296875,158.55941772460938,314.78179931640625
2023-08-10,175.50950622558594,157.73486328125,315.4656677246094
2023-08-11,175.5687713623047,159.27401733398438,313.59002685546875
2023-08-14,177.21788024902344,158.89837646484375,316.5499572753906
2023-08-15,175.23300170898438,158.44032287597656,314.4203796386719
2023-08-16,174.36399841308594,157.93643188476562,313.65673828125
2023-08-17,171.82611083984375,159.4205780029297,310.2109375
2023-08-18,172.30999755859375,158.02804565429688,309.8193054199219
2023-08-21,173.6431121826172,153.3189697265625,315.1056823730469
2023-08-22,175.01573181152344,152.10047912597656,315.6734313964844
2023-08-23,178.8571319580078,150.73544311523438,320.1178894042969
2023-08-24,174.1763916015625,151.2484588623047,313.23583984375
2023-08-25,176.3784942626953,153.41705322265625,316.1825256347656
2023-08-28,177.9387664794922,151.6083526611328,316.88739013671875
2023-08-29,181.81967163085938,151.62681579589844,321.4981994628906
2023-08-30,185.30555725097656,151.09156799316406,321.8702392578125
2023-08-31,185.52281188964844,149.19979858398438,320.8619384765625
2023-09-01,187.0929718017578,148.09242248535156,321.74298095703125
2023-09-05,187.32992553710938,148.2770233154297,326.5300598144531
2023-09-06,180.62478637695312,145.8131103515625,325.8741760253906
2023-09-07,175.34161376953125,147.6771697998047,322.9666748046875
2023-09-08,175.95387268066406,148.16624450683594,327.23486328125
2023-09-11,177.119140625,150.1041717529297,330.82769775390625
2023-09-12,174.0973663330078,150.9532012939453,324.7875061035156
2023-09-13,172.03346252441406,151.33154296875,328.98724365234375
2023-09-14,173.54434204101562,151.10081481933594,331.57171630859375
2023-09-15,172.82347106933594,148.987548828125,323.2701110839844
2023-09-18,175.7465057373047,149.92884826660156,322.1345520019531
2023-09-19,176.83274841308594,149.6796875,321.73321533203125
2023-09-20,173.29750061035156,150.33489990234375,314.01904296875
2023-09-21,171.7569580078125,149.18138122558594,312.8051452636719
2023-09-22,172.60621643066406,148.1109161376953,310.33819580078125
2023-09-25,173.88009643554688,147.88941955566406,310.8570251464844
2023-09-26,169.81158447265625,146.74514770507812,305.5706787109375
2023-09-27,168.30068969726562,144.98260498046875,306.20697021484375
2023-09-28,168.55746459960938,144.77035522460938,307.03912353515625
2023-09-29,169.07098388671875,143.72756958007812,309.1046447753906
2023-10-02,171.57920837402344,143.1738739013672,315.02728271484375
2023-10-03,170.24609375,143.3491973876953,306.7943420410156
2023-10-04,171.4903564453125,143.5153350830078,312.2471008300781
2023-10-05,172.7247314453125,145.01025390625,312.6387023925781
2023-10-06,175.2725067138672,145.4716796875,320.3724365234375
2023-10-09,176.75376892089844,146.30221557617188,322.8785095214844
2023-10-10,176.1612548828125,146.1361083984375,321.4786376953125
2023-10-11,177.5536346435547,144.12437438964844,325.4238586425781
2023-10-12,178.45228576660156,144.26278686523438,324.1903991699219
2023-10-13,176.6155242919922,144.74267578125,320.83258056640625
2023-10-16,176.4871063232422,145.37017822265625,325.63916015625
2023-10-17,174.9367218017578,144.0413360595703,325.0714111328125
2023-10-18,173.6431121826172,140.94065856933594,323.16241455078125
2023-10-19,173.26783752441406,140.56234741210938,324.34698486328125
2023-10-20,170.72012329101562,141.18983459472656,319.79486083984375
2023-10-23,170.83859252929688,139.70411682128906,322.3890380859375
2023-10-24,171.27310180664062,139.5564422607422,323.5735778808594
2023-10-25,168.9623565673828,139.87025451660156,333.5002746582031
2023-10-26,164.80491638183594,137.49859619140625,320.9892272949219
2023-10-27,166.11831665039062,134.36102294921875,322.8688049316406
2023-10-30,168.16244506835938,135.6806640625,330.2109375
2023-10-31,168.63644409179688,136.88954162597656,330.9941101074219
2023-11-01,171.79647827148438,137.21249389648438,338.78662109375
2023-11-02,175.3515167236328,138.6428985595703,340.98919677734375
2023-11-03,174.44297790527344,139.65798950195312,345.3749084472656
2023-11-06,176.99075317382812,139.9901885986328,349.02642822265625
2023-11-07,179.5484161376953,139.25193786621094,352.9422302246094
2023-11-08,180.6050262451172,138.74441528320312,355.5560607910156
2023-11-09,180.13107299804688,136.04054260253906,353.0987854003906
2023-11-10,184.31369018554688,135.88365173339844,361.889892578125
2023-11-13,182.73158264160156,136.23434448242188,358.9627685546875
2023-11-14,185.342041015625,136.2620086669922,362.4772033691406
2023-11-15,185.90565490722656,137.31407165527344,362.6243896484375
2023-11-16,187.58665466308594,138.51370239257812,369.00048828125
2023-11-17,187.56686401367188,138.2276153564453,362.8009338378906
2023-11-20,189.30715942382812,139.44619750976562,370.2463073730469
2023-11-21,188.5062255859375,140.57171630859375,365.9595642089844
2023-11-22,189.1687469482422,140.29266357421875,370.6484680175781
2023-11-24,187.84373474121094,141.85537719726562,370.2364501953125
2023-11-27,187.6657257080078,140.72055053710938,371.39398193359375
2023-11-28,188.26890563964844,141.046142578125,375.4060974121094
2023-11-29,187.25042724609375,141.49261474609375,371.62945556640625
2023-11-30,187.8239288330078,143.8646240234375,371.6883239746094
2023-12-01,189.09951782226562,147.3249969482422,367.3721923828125
2023-12-04,187.3097686767578,147.79006958007812,362.1044921875
2023-12-05,191.25511169433594,147.48309326171875,365.4200134277344
2023-12-06,190.16741943359375,145.6878204345703,361.77099609375
2023-12-07,192.09561157226562,144.552978515625,363.8800048828125
2023-12-08,193.5194854736328,143.64134216308594,367.0975341796875
2023-12-11,191.0177764892578,144.23670959472656,364.22332763671875
